2025-06-04 18:17:54,107 - CPU Usage: 57.1% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,157 - CPU Usage: 25.0% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,192 - CPU Usage: 62.5% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,257 - CPU Usage: 33.3% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,309 - CPU Usage: 55.1% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,357 - CPU Usage: 36.1% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,406 - CPU Usage: 31.4% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,456 - CPU Usage: 42.1% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,508 - CPU Usage: 30.6% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,565 - CPU Usage: 61.5% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,623 - CPU Usage: 56.2% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,673 - CPU Usage: 27.0% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,724 - CPU Usage: 16.7% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,789 - CPU Usage: 77.6% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,856 - CPU Usage: 41.7% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,894 - CPU Usage: 54.2% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,937 - CPU Usage: 27.8% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,005 - CPU Usage: 16.7% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,040 - CPU Usage: 29.2% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,087 - CPU Usage: 51.4% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,121 - CPU Usage: 41.7% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,170 - CPU Usage: 14.7% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,211 - CPU Usage: 38.5% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,258 - CPU Usage: 75.0% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,306 - CPU Usage: 75.0% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,355 - CPU Usage: 54.0% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,405 - CPU Usage: 14.7% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,455 - CPU Usage: 15.8% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,507 - CPU Usage: 47.2% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,556 - CPU Usage: 71.1% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,608 - CPU Usage: 66.0% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,673 - CPU Usage: 72.9% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,724 - CPU Usage: 41.7% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,774 - CPU Usage: 50.0% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,823 - CPU Usage: 49.0% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,877 - CPU Usage: 27.8% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,919 - CPU Usage: 41.7% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:55,974 - CPU Usage: 71.1% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
